
Município;Ano;Classe;Quantidade (KWH)
Caturama;2016;Pública;1107166
Caturama;2016;Residencial;2403054
Caturama;2016;Rural;508232
Central;2016;Comercial;793995
Central;2016;Industrial;16985
Central;2016;Outros;19363
Central;2016;Pública;15493185
Central;2016;Residencial;5343651
Central;2016;Rural;838098
Chorrochó;2016;Comercial;517226
Chorrochó;2016;Industrial;221406
Chorrochó;2016;Pública;1414075
Chorrochó;2016;Residencial;3455933
Chorrochó;2016;Rural;114678
Cícero Dantas;2016;Comercial;2288374
Cícero Dantas;2016;Industrial;84232
Cícero Dantas;2016;Outros;13224
Cícero Dantas;2016;Pública;10013351
Cícero Dantas;2016;Residencial;11519237
Cícero Dantas;2016;Rural;662453
Cipó;2016;Comercial;1181910
Cipó;2016;Industrial;107699
Cipó;2016;Outros;12907
Cipó;2016;Pública;2953181
Cipó;2016;Residencial;6881848
Cipó;2016;Rural;273696
Coaraci;2016;Comercial;1764993
Coaraci;2016;Industrial;291646
Coaraci;2016;Outros;12248
Coaraci;2016;Pública;2471915
Coaraci;2016;Residencial;8239570
Coaraci;2016;Rural;879288
Cocos;2016;Comercial;671779
Cocos;2016;Industrial;219579
Cocos;2016;Outros;17554
Cocos;2016;Pública;2344458
Cocos;2016;Residencial;6947089
Cocos;2016;Rural;48413934
Conceição da Feira;2016;Comercial;1565465
Conceição da Feira;2016;Industrial;8129748
Conceição da Feira;2016;Outros;7293
Conceição da Feira;2016;Pública;43124455
Conceição da Feira;2016;Residencial;7516559
Conceição da Feira;2016;Rural;6402023
Conceição do Almeida;2016;Comercial;1271710
Conceição do Almeida;2016;Industrial;1926965
Conceição do Almeida;2016;Pública;2217328
Conceição do Almeida;2016;Residencial;5594589
Conceição do Almeida;2016;Rural;1880893
Conceição do Coité;2016;Comercial;7643486
Conceição do Coité;2016;Industrial;7419048
Conceição do Coité;2016;Outros;30501
Conceição do Coité;2016;Pública;8528979
Conceição do Coité;2016;Residencial;23444319
Conceição do Coité;2016;Rural;1842759
Conceição do Jacuípe;2016;Comercial;5054063
Conceição do Jacuípe;2016;Industrial;16393198
Conceição do Jacuípe;2016;Outros;180
Conceição do Jacuípe;2016;Pública;3830723
Conceição do Jacuípe;2016;Residencial;15471741
Conceição do Jacuípe;2016;Rural;3620609
Conde;2016;Comercial;2530351
Conde;2016;Industrial;4510422
Conde;2016;Outros;10650
Conde;2016;Pública;4603296
Conde;2016;Residencial;9494362
Conde;2016;Rural;5531676
Condeúba;2016;Comercial;1258087
Condeúba;2016;Industrial;557816
Condeúba;2016;Pública;2199844
Condeúba;2016;Residencial;6351563
Condeúba;2016;Rural;835233
Contendas do Sincorá;2016;Comercial;368371
Contendas do Sincorá;2016;Industrial;13643
Contendas do Sincorá;2016;Pública;663743
Contendas do Sincorá;2016;Residencial;1584620
Contendas do Sincorá;2016;Rural;545630
Coração de Maria;2016;Comercial;1389448
Coração de Maria;2016;Industrial;997267
Coração de Maria;2016;Outros;10290
Coração de Maria;2016;Pública;2341475
Coração de Maria;2016;Residencial;8365077
Coração de Maria;2016;Rural;2240202
Cordeiros;2016;Comercial;435448
Cordeiros;2016;Industrial;286038
Cordeiros;2016;Pública;863465
Cordeiros;2016;Residencial;2399413
Cordeiros;2016;Rural;474205
Coribe;2016;Comercial;615190
Coribe;2016;Industrial;124448
Coribe;2016;Outros;14235
Coribe;2016;Pública;2565366
Coribe;2016;Residencial;5310919
Coribe;2016;Rural;6519974
Coronel João Sá;2016;Comercial;806833
Coronel João Sá;2016;Industrial;14580
Coronel João Sá;2016;Pública;1342357
Coronel João Sá;2016;Residencial;4686025
Coronel João Sá;2016;Rural;212870
Correntina;2016;Comercial;5562975
Correntina;2016;Industrial;759237
Correntina;2016;Outros;64942
Correntina;2016;Pública;4881675
Correntina;2016;Residencial;12396462
Correntina;2016;Rural;38988528
Cotegipe;2016;Comercial;634374
Cotegipe;2016;Industrial;11425
Cotegipe;2016;Pública;2164427
Cotegipe;2016;Residencial;4416958
Cotegipe;2016;Rural;2107685
Cravolândia;2016;Comercial;229921
Cravolândia;2016;Industrial;24600
Cravolândia;2016;Pública;1559473
Cravolândia;2016;Residencial;1572547
Cravolândia;2016;Rural;134842
Crisópolis;2016;Comercial;703226
Crisópolis;2016;Industrial;87990
Crisópolis;2016;Pública;2788383
Crisópolis;2016;Residencial;6378469
Crisópolis;2016;Rural;610517
Cristópolis;2016;Comercial;535905
Cristópolis;2016;Industrial;10998
Cristópolis;2016;Pública;2481990
Cristópolis;2016;Residencial;4254194
Cristópolis;2016;Rural;530963
Cruz das Almas;2016;Comercial;13847721
Cruz das Almas;2016;Industrial;4447989
Cruz das Almas;2016;Outros;19262
Cruz das Almas;2016;Pública;13157646
Cruz das Almas;2016;Residencial;30486397
Cruz das Almas;2016;Rural;1910074
Curaçá;2016;Comercial;1677595
Curaçá;2016;Industrial;314176
Curaçá;2016;Outros;14239
Curaçá;2016;Pública;3648344
Curaçá;2016;Residencial;10190855
Curaçá;2016;Rural;47021225
Dário Meira;2016;Comercial;455389
Dário Meira;2016;Industrial;19420
Dário Meira;2016;Outros;22810
Dário Meira;2016;Pública;851207
Dário Meira;2016;Residencial;3311059
Dário Meira;2016;Rural;566178
Dias D'Ávila;2016;Comercial;15188560
Dias D'Ávila;2016;Industrial;44396713
Dias D'Ávila;2016;Outros;12666
Dias D'Ávila;2016;Pública;45440795
Dias D'Ávila;2016;Residencial;34563246
Dias D'Ávila;2016;Rural;254561
Dom Basílio;2016;Comercial;670099
Dom Basílio;2016;Industrial;45547
Dom Basílio;2016;Pública;1310552
Dom Basílio;2016;Residencial;3814702
Dom Basílio;2016;Rural;5947365
Dom Macedo Costa;2016;Comercial;363209
Dom Macedo Costa;2016;Industrial;26916
Dom Macedo Costa;2016;Pública;846740
Dom Macedo Costa;2016;Residencial;1291250
Dom Macedo Costa;2016;Rural;688071
Elísio Medrado;2016;Comercial;269938
Elísio Medrado;2016;Industrial;82506
Elísio Medrado;2016;Pública;1314353
Elísio Medrado;2016;Residencial;2722887
Elísio Medrado;2016;Rural;666471
Encruzilhada;2016;Comercial;950007
Encruzilhada;2016;Industrial;38765
Encruzilhada;2016;Outros;8275
Encruzilhada;2016;Pública;2859120
Encruzilhada;2016;Residencial;5883438
Encruzilhada;2016;Rural;5188464
Entre Rios;2016;Comercial;4943578
Entre Rios;2016;Industrial;12633462
Entre Rios;2016;Outros;33345
Entre Rios;2016;Pública;6030153
Entre Rios;2016;Residencial;17533071
Entre Rios;2016;Rural;5250493
Érico Cardoso;2016;Comercial;257332
Érico Cardoso;2016;Industrial;22675
Érico Cardoso;2016;Pública;1105129
Érico Cardoso;2016;Residencial;3111707
Érico Cardoso;2016;Rural;488027
Esplanada;2016;Comercial;4016956
Esplanada;2016;Industrial;2140572
Esplanada;2016;Outros;11211
Esplanada;2016;Pública;5100245
Esplanada;2016;Residencial;11639666
Esplanada;2016;Rural;1086660
Euclides da Cunha;2016;Comercial;5744976
Euclides da Cunha;2016;Industrial;2438425
Euclides da Cunha;2016;Outros;16711
Euclides da Cunha;2016;Pública;19006497
Euclides da Cunha;2016;Residencial;22506323
Euclides da Cunha;2016;Rural;1456739
Eunápolis;2016;Comercial;34511529
Eunápolis;2016;Industrial;52151212
Eunápolis;2016;Outros;137393
Eunápolis;2016;Pública;19172579
Eunápolis;2016;Residencial;59890786
Eunápolis;2016;Rural;17081048
Fátima;2016;Comercial;811725
Fátima;2016;Industrial;117151
Fátima;2016;Pública;3984523
Fátima;2016;Residencial;5629204
Fátima;2016;Rural;597484
Feira da Mata;2016;Comercial;264779
Feira da Mata;2016;Industrial;37555
Feira da Mata;2016;Outros;2955
Feira da Mata;2016;Pública;738129
Feira da Mata;2016;Residencial;1762031
Feira da Mata;2016;Rural;818167
Feira de Santana;2016;Comercial;209382883
Feira de Santana;2016;Industrial;116888144
Feira de Santana;2016;Outros;892273
Feira de Santana;2016;Pública;73588776
Feira de Santana;2016;Residencial;343724626
Feira de Santana;2016;Rural;15929789
Filadélfia;2016;Comercial;920060
Filadélfia;2016;Industrial;822650
Filadélfia;2016;Pública;2739554
Filadélfia;2016;Residencial;5928969
Filadélfia;2016;Rural;357870
Firmino Alves;2016;Comercial;382518
Firmino Alves;2016;Industrial;542487
Firmino Alves;2016;Outros;45048
Firmino Alves;2016;Pública;637157
Firmino Alves;2016;Residencial;1764466
Firmino Alves;2016;Rural;265044
Floresta Azul;2016;Comercial;868134
Floresta Azul;2016;Industrial;41066
Floresta Azul;2016;Outros;11827
Floresta Azul;2016;Pública;1095502
Floresta Azul;2016;Residencial;3332409
Floresta Azul;2016;Rural;774116
Formosa do Rio Preto;2016;Comercial;2825855
Formosa do Rio Preto;2016;Industrial;341112
Formosa do Rio Preto;2016;Outros;12066
Formosa do Rio Preto;2016;Pública;3273558
Formosa do Rio Preto;2016;Residencial;8022258
Formosa do Rio Preto;2016;Rural;3007913
Gandu;2016;Comercial;3966066
Gandu;2016;Industrial;175907
Gandu;2016;Outros;15105
Gandu;2016;Pública;3682683
Gandu;2016;Residencial;12199741
Gandu;2016;Rural;1623834
Gavião;2016;Comercial;290380
Gavião;2016;Industrial;12033
Gavião;2016;Pública;396440
Gavião;2016;Residencial;1354147
Gavião;2016;Rural;99372
Gentio do Ouro;2016;Comercial;599107
Gentio do Ouro;2016;Industrial;155752
Gentio do Ouro;2016;Outros;1491
Gentio do Ouro;2016;Pública;1451557
Gentio do Ouro;2016;Residencial;3202670
Gentio do Ouro;2016;Rural;202000
Glória;2016;Comercial;669606
Glória;2016;Industrial;365175
Glória;2016;Outros;12580
Glória;2016;Pública;3328227
Glória;2016;Residencial;5299654
Glória;2016;Rural;11227471
